trial_number,block_id,technique,photo_filename
1,block_neutral,view,IASP/2518.jpg
2,block_neutral,view,IASP/7140.jpg
3,block_neutral,view,IASP/7217.jpg
4,block_neutral,view,IASP/7504.jpg
5,block_neutral,view,IASP/7002.jpg
6,block_neutral,view,IASP/7546.jpg
7,block_neutral,view,IASP/5740.jpg
8,block_neutral,view,IASP/5395.jpg
9,block_neutral,view,IASP/2594.jpg
10,block_neutral,view,IASP/2514.jpg
11,block_neutral,view,IASP/7036.jpg
12,block_neutral,view,IASP/7130.jpg
13,block_neutral,view,IASP/7041.jpg
14,block_neutral,view,IASP/7640.jpg
15,block_neutral,view,IASP/2980.jpg
16,block_neutral,view,IASP/7205.jpg
17,block_neutral,view,IASP/2435.jpg
18,block_neutral,view,IASP/2393.jpg
19,block_neutral,view,IASP/7496.jpg
20,block_neutral,view,IASP/2480.jpg
21,block_neutral,view,IASP/5520.jpg
22,block_neutral,view,IASP/7495.jpg
23,block_neutral,view,IASP/2580.jpg
24,block_neutral,view,IASP/2593.jpg
25,block_neutral,view,IASP/2880.jpg
26,block_neutral,view,IASP/7550.jpg
27,block_neutral,view,IASP/2575.jpg
28,block_neutral,view,IASP/7004.jpg
29,block_neutral,view,IASP/5471.jpg
30,block_neutral,view,IASP/2870.jpg
31,block_neutral,view,IASP/7491.jpg
32,block_neutral,view,IASP/placeholder.jpg
33,block_neutral,view,IASP/2383.jpg
34,block_neutral,view,IASP/2396.jpg
35,block_neutral,view,IASP/2272.jpg
36,block_neutral,view,IASP/7705.jpg
37,block_neutral,view,IASP/2397.jpg
38,block_neutral,view,IASP/7493.jpg
39,block_neutral,view,IASP/5455.jpg
40,block_neutral,view,IASP/7037.jpg
